epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,16081.7,0.36142,0.41294,0.15965,0.9394,0.93598,0.94134,0.58401,0.395,0.40391,0.20349,6.87222e-05,6.87222e-05,6.87222e-05
40,16496.1,0.36468,0.41284,0.15852,0.93725,0.93475,0.94091,0.5926,0.38732,0.39757,0.19623,6.72675e-05,6.72675e-05,6.72675e-05
41,16915.7,0.35809,0.41013,0.15466,0.94236,0.93875,0.94344,0.59606,0.38277,0.39609,0.19511,6.57963e-05,6.57963e-05,6.57963e-05
42,17335.4,0.35708,0.41094,0.15257,0.93882,0.93308,0.93935,0.58749,0.39241,0.40844,0.20315,6.43101e-05,6.43101e-05,6.43101e-05
43,17750,0.35703,0.40289,0.15276,0.93874,0.93401,0.93721,0.58517,0.39399,0.40672,0.20164,6.28101e-05,6.28101e-05,6.28101e-05
44,18166.6,0.35624,0.40645,0.15506,0.93775,0.93711,0.93804,0.57711,0.40629,0.40453,0.21096,6.12981e-05,6.12981e-05,6.12981e-05
45,18580.7,0.35818,0.39979,0.15303,0.94175,0.93576,0.94111,0.58552,0.39346,0.39975,0.20071,5.97754e-05,5.97754e-05,5.97754e-05
46,18997.1,0.35223,0.40381,0.15364,0.93968,0.93743,0.94003,0.58951,0.38954,0.40245,0.20018,5.82435e-05,5.82435e-05,5.82435e-05
47,19413.9,0.35326,0.40282,0.15528,0.94539,0.93576,0.94474,0.58816,0.39162,0.39573,0.19989,5.6704e-05,5.6704e-05,5.6704e-05
48,19830.1,0.35636,0.40038,0.15343,0.9443,0.93822,0.94467,0.59178,0.39076,0.39924,0.20165,5.51584e-05,5.51584e-05,5.51584e-05
49,20244.7,0.35318,0.40044,0.15353,0.94684,0.93784,0.94324,0.58951,0.39204,0.40364,0.20094,5.36081e-05,5.36081e-05,5.36081e-05
50,20659.7,0.34795,0.39516,0.15111,0.93842,0.93667,0.94249,0.58809,0.39244,0.4023,0.20371,5.20548e-05,5.20548e-05,5.20548e-05
51,21073.5,0.35395,0.39934,0.15309,0.94457,0.94215,0.9431,0.58619,0.39238,0.39969,0.20282,5.05e-05,5.05e-05,5.05e-05
52,21486.6,0.34599,0.39463,0.14868,0.94414,0.94177,0.94425,0.58829,0.39429,0.39726,0.20356,4.89452e-05,4.89452e-05,4.89452e-05
53,21899.7,0.35002,0.39878,0.15221,0.94868,0.93864,0.95216,0.5961,0.38687,0.39478,0.19589,4.73919e-05,4.73919e-05,4.73919e-05
54,22314.5,0.34347,0.39768,0.14705,0.9444,0.93717,0.9434,0.59843,0.38322,0.40029,0.19353,4.58416e-05,4.58416e-05,4.58416e-05
55,22730.1,0.34475,0.39207,0.1486,0.95149,0.9421,0.95217,0.60299,0.38073,0.39339,0.19317,4.4296e-05,4.4296e-05,4.4296e-05
56,23145.9,0.34108,0.38892,0.14573,0.95054,0.9396,0.94798,0.60433,0.37846,0.39366,0.1919,4.27565e-05,4.27565e-05,4.27565e-05
57,23561.2,0.34107,0.39059,0.14876,0.95086,0.9424,0.94843,0.59379,0.38546,0.39572,0.19473,4.12246e-05,4.12246e-05,4.12246e-05
58,23975.3,0.33866,0.39084,0.14742,0.948,0.94385,0.94931,0.60241,0.38108,0.39445,0.19436,3.97019e-05,3.97019e-05,3.97019e-05
59,24389.3,0.33833,0.38849,0.14687,0.95089,0.94167,0.94931,0.60192,0.37722,0.39648,0.19096,3.81899e-05,3.81899e-05,3.81899e-05
60,24804.9,0.33679,0.38788,0.14467,0.95152,0.93931,0.94709,0.60244,0.37948,0.39473,0.193,3.66899e-05,3.66899e-05,3.66899e-05
61,25219.1,0.33996,0.38333,0.14613,0.94895,0.94146,0.94164,0.59808,0.38459,0.39795,0.19574,3.52037e-05,3.52037e-05,3.52037e-05
62,25633.2,0.33791,0.38747,0.14622,0.95097,0.94275,0.94968,0.59855,0.38255,0.39597,0.19532,3.37325e-05,3.37325e-05,3.37325e-05
63,26046.5,0.33967,0.38666,0.14474,0.94684,0.9458,0.94832,0.60413,0.37988,0.3947,0.19423,3.22778e-05,3.22778e-05,3.22778e-05
64,26460.6,0.33579,0.38416,0.14637,0.9511,0.94025,0.94742,0.59589,0.38721,0.39913,0.19808,3.08412e-05,3.08412e-05,3.08412e-05
65,26874.8,0.33414,0.38554,0.14407,0.95296,0.93675,0.94707,0.60329,0.37921,0.39733,0.19292,2.94239e-05,2.94239e-05,2.94239e-05
66,27288.8,0.32907,0.38124,0.14128,0.95157,0.93655,0.94726,0.59984,0.38224,0.39865,0.19556,2.80275e-05,2.80275e-05,2.80275e-05
67,27703.7,0.32427,0.38208,0.13956,0.95362,0.93938,0.951,0.603,0.37964,0.39627,0.19275,2.66532e-05,2.66532e-05,2.66532e-05
68,28117.1,0.33096,0.38039,0.14249,0.94945,0.94309,0.94775,0.60402,0.37727,0.39237,0.19271,2.53024e-05,2.53024e-05,2.53024e-05
69,28530.3,0.32922,0.37783,0.14099,0.95203,0.94168,0.94836,0.60232,0.38062,0.39634,0.19351,2.39766e-05,2.39766e-05,2.39766e-05
70,28943.3,0.32968,0.37981,0.14072,0.95061,0.9392,0.94614,0.60015,0.38348,0.40079,0.19633,2.26769e-05,2.26769e-05,2.26769e-05
71,29357,0.33064,0.37861,0.14258,0.95406,0.94056,0.95023,0.59707,0.38553,0.39997,0.19674,2.14046e-05,2.14046e-05,2.14046e-05
