epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,427.367,1.03171,1.17975,0.57839,0.00314,0.17188,0.00891,0.00254,1.19839,0.8581,1.04954,9.97881e-06,9.97881e-06,0.0800524
2,841.098,0.60499,1.26056,0.28596,0.12248,0.22939,0.05176,0.02194,0.88011,1.00247,0.65064,1.99739e-05,1.99739e-05,0.0600623
3,1253.98,0.51927,1.18038,0.23539,0.40513,0.2628,0.13503,0.06685,0.50578,1.18372,0.26347,2.99494e-05,2.99494e-05,0.0400723
4,1665.43,0.45482,1.15367,0.20671,0.39666,0.31101,0.18301,0.10211,0.3609,1.2105,0.16942,3.98905e-05,3.98905e-05,0.0200823
5,2076.21,0.44084,1.04064,0.20208,0.60899,0.54613,0.45816,0.29279,0.36388,0.9386,0.18114,4.97827e-05,4.97827e-05,9.21556e-05
6,2486.87,0.45212,0.8538,0.21606,0.53353,0.71765,0.60613,0.38026,0.37311,0.75067,0.18649,4.96937e-05,4.96937e-05,4.96937e-05
7,2897.34,0.4427,0.75897,0.21076,0.57227,0.78846,0.65365,0.39312,0.40928,0.66382,0.20533,4.95594e-05,4.95594e-05,4.95594e-05
8,3308.43,0.4528,0.6809,0.21383,0.71823,0.81716,0.76641,0.47528,0.39562,0.5665,0.18875,4.94009e-05,4.94009e-05,4.94009e-05
9,3719.47,0.4504,0.63805,0.21207,0.74943,0.8028,0.79031,0.48793,0.39835,0.54352,0.19138,4.92185e-05,4.92185e-05,4.92185e-05
10,4130.79,0.44639,0.60106,0.20986,0.7784,0.839,0.82216,0.50678,0.40082,0.4946,0.19617,4.90123e-05,4.90123e-05,4.90123e-05
11,4542.28,0.43336,0.57245,0.20076,0.83606,0.84869,0.843,0.52397,0.39808,0.48359,0.19508,4.87825e-05,4.87825e-05,4.87825e-05
12,4954.35,0.42999,0.55342,0.20038,0.82804,0.85156,0.85987,0.53538,0.39269,0.47487,0.19119,4.85294e-05,4.85294e-05,4.85294e-05
13,5365.88,0.42944,0.53314,0.19772,0.84762,0.86042,0.87109,0.54528,0.39327,0.45775,0.19464,4.82532e-05,4.82532e-05,4.82532e-05
14,5777.92,0.42512,0.52224,0.19798,0.86262,0.87725,0.88061,0.54986,0.39345,0.44516,0.19455,4.79541e-05,4.79541e-05,4.79541e-05
15,6188.58,0.41833,0.50833,0.1949,0.84383,0.88033,0.87865,0.54868,0.39456,0.44869,0.19455,4.76326e-05,4.76326e-05,4.76326e-05
16,6598.01,0.41272,0.49962,0.18962,0.88173,0.8721,0.89785,0.56167,0.39066,0.4405,0.19424,4.72888e-05,4.72888e-05,4.72888e-05
17,7009.35,0.40759,0.48991,0.18737,0.88496,0.89598,0.90044,0.55427,0.39868,0.42868,0.20101,4.69231e-05,4.69231e-05,4.69231e-05
18,7419.75,0.40446,0.47865,0.18734,0.89626,0.88755,0.90698,0.57022,0.38834,0.4242,0.18967,4.6536e-05,4.6536e-05,4.6536e-05
