epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
19,7831.18,0.40372,0.47458,0.18746,0.89598,0.90555,0.90967,0.5721,0.39065,0.42199,0.19411,4.61277e-05,4.61277e-05,4.61277e-05
20,8242.59,0.39894,0.47247,0.18199,0.89375,0.90794,0.91618,0.57559,0.38752,0.41554,0.19277,4.56986e-05,4.56986e-05,4.56986e-05
21,8653.74,0.39979,0.4658,0.18366,0.89487,0.90311,0.91372,0.57116,0.39294,0.42237,0.19337,4.52493e-05,4.52493e-05,4.52493e-05
22,9064.02,0.39153,0.45694,0.17891,0.90791,0.90471,0.92268,0.57533,0.39108,0.42155,0.20004,4.47801e-05,4.47801e-05,4.47801e-05
23,9474.2,0.39024,0.45817,0.17724,0.89395,0.91202,0.91895,0.57844,0.38743,0.41747,0.19203,4.42915e-05,4.42915e-05,4.42915e-05
24,9885.29,0.38872,0.45586,0.18079,0.90691,0.91229,0.9253,0.58486,0.38121,0.41763,0.19081,4.3784e-05,4.3784e-05,4.3784e-05
25,10297.1,0.38855,0.45188,0.18123,0.90516,0.91981,0.92323,0.57562,0.38769,0.41533,0.19622,4.32581e-05,4.32581e-05,4.32581e-05
26,10707.8,0.38451,0.44905,0.17777,0.91187,0.92433,0.93219,0.58534,0.38365,0.40828,0.19007,4.27143e-05,4.27143e-05,4.27143e-05
27,11120.3,0.38158,0.44048,0.17499,0.91612,0.92,0.93255,0.58762,0.38048,0.40504,0.18816,4.21531e-05,4.21531e-05,4.21531e-05
28,11532.9,0.37747,0.44019,0.17132,0.92493,0.91555,0.92977,0.58875,0.38096,0.4063,0.19259,4.15751e-05,4.15751e-05,4.15751e-05
29,11945.5,0.37795,0.44051,0.17338,0.91476,0.91109,0.92547,0.5859,0.38383,0.40692,0.19358,4.09809e-05,4.09809e-05,4.09809e-05
30,12357,0.37022,0.43193,0.16932,0.92301,0.92646,0.9319,0.59671,0.375,0.40279,0.18681,4.03711e-05,4.03711e-05,4.03711e-05
31,12768,0.37044,0.43429,0.17195,0.91624,0.92795,0.93115,0.59472,0.37529,0.40954,0.18728,3.97462e-05,3.97462e-05,3.97462e-05
32,13178.3,0.36823,0.42649,0.16836,0.91679,0.92923,0.94075,0.60405,0.37345,0.39945,0.18705,3.91068e-05,3.91068e-05,3.91068e-05
33,13589.9,0.36493,0.42645,0.16624,0.92666,0.92673,0.93243,0.59214,0.37881,0.40511,0.19021,3.84537e-05,3.84537e-05,3.84537e-05
34,14000.3,0.36816,0.42483,0.16935,0.9289,0.93402,0.93704,0.60629,0.36936,0.39336,0.18146,3.77874e-05,3.77874e-05,3.77874e-05
35,14411.8,0.36347,0.42044,0.16737,0.93431,0.92794,0.93988,0.60792,0.36847,0.39494,0.18203,3.71086e-05,3.71086e-05,3.71086e-05
36,14823.3,0.36275,0.42795,0.16909,0.92962,0.93063,0.93756,0.60446,0.37213,0.39703,0.18217,3.6418e-05,3.6418e-05,3.6418e-05
37,15233.9,0.36186,0.42028,0.16515,0.9284,0.93213,0.93779,0.5997,0.36938,0.4001,0.18331,3.57163e-05,3.57163e-05,3.57163e-05
38,15644.2,0.35716,0.41717,0.16226,0.93033,0.92925,0.9408,0.59678,0.37733,0.39899,0.18945,3.50041e-05,3.50041e-05,3.50041e-05
39,16054.6,0.3577,0.41329,0.16057,0.92315,0.93455,0.94032,0.6093,0.36237,0.40243,0.17712,3.42821e-05,3.42821e-05,3.42821e-05
40,16466.4,0.3498,0.41265,0.16175,0.93628,0.93287,0.94175,0.61009,0.36467,0.40096,0.17973,3.35511e-05,3.35511e-05,3.35511e-05
41,16878.3,0.35427,0.41321,0.1614,0.92711,0.93984,0.9394,0.59903,0.3706,0.39821,0.1847,3.28118e-05,3.28118e-05,3.28118e-05
42,17288.8,0.35287,0.40867,0.15814,0.93374,0.93902,0.94661,0.61124,0.36303,0.39668,0.17958,3.20649e-05,3.20649e-05,3.20649e-05
43,17700.5,0.34877,0.40819,0.15669,0.92689,0.93944,0.94118,0.603,0.36749,0.40179,0.18423,3.13112e-05,3.13112e-05,3.13112e-05
44,18111.2,0.34796,0.41019,0.15922,0.93711,0.9391,0.93852,0.60278,0.37012,0.39724,0.18263,3.05513e-05,3.05513e-05,3.05513e-05
45,18522.3,0.35036,0.40568,0.15871,0.93803,0.93469,0.94338,0.61211,0.36263,0.3954,0.17868,2.97861e-05,2.97861e-05,2.97861e-05
46,18934.3,0.3463,0.40251,0.15882,0.93847,0.9384,0.94382,0.6079,0.36887,0.39659,0.18307,2.90163e-05,2.90163e-05,2.90163e-05
47,19344.9,0.34118,0.40435,0.15679,0.94029,0.94143,0.94523,0.61036,0.36418,0.39197,0.17983,2.82427e-05,2.82427e-05,2.82427e-05
48,19756.1,0.33984,0.40268,0.15362,0.93668,0.94286,0.9492,0.61489,0.36403,0.39477,0.18148,2.74659e-05,2.74659e-05,2.74659e-05
49,20167.8,0.34685,0.404,0.15706,0.93608,0.94022,0.94539,0.60474,0.36832,0.39523,0.18208,2.66869e-05,2.66869e-05,2.66869e-05
50,20578.5,0.34276,0.39893,0.15615,0.9381,0.93647,0.94564,0.60699,0.36679,0.39526,0.18206,2.59063e-05,2.59063e-05,2.59063e-05
51,20989.5,0.33971,0.39856,0.15375,0.93535,0.94305,0.9436,0.60712,0.36822,0.39601,0.18482,2.5125e-05,2.5125e-05,2.5125e-05
52,21400.7,0.33874,0.39561,0.15251,0.94158,0.93853,0.94937,0.61542,0.36046,0.39268,0.17909,2.43437e-05,2.43437e-05,2.43437e-05
53,21812.5,0.33884,0.39611,0.15223,0.93611,0.94015,0.94688,0.61189,0.36273,0.39482,0.17897,2.35631e-05,2.35631e-05,2.35631e-05
54,22223.5,0.33601,0.39788,0.15235,0.93735,0.94096,0.94651,0.61724,0.35977,0.39557,0.1766,2.27841e-05,2.27841e-05,2.27841e-05
55,22635.6,0.33378,0.39511,0.15086,0.93563,0.94311,0.94912,0.61538,0.3604,0.39226,0.17951,2.20073e-05,2.20073e-05,2.20073e-05
56,23046.5,0.33475,0.39808,0.1533,0.93608,0.94352,0.94828,0.61494,0.36196,0.39449,0.17997,2.12337e-05,2.12337e-05,2.12337e-05
57,23457.6,0.33132,0.39402,0.15024,0.93814,0.94057,0.94846,0.61438,0.36321,0.38808,0.18028,2.04639e-05,2.04639e-05,2.04639e-05
58,23868.4,0.32788,0.38903,0.14743,0.93413,0.94738,0.9472,0.61304,0.36133,0.39199,0.17931,1.96987e-05,1.96987e-05,1.96987e-05
59,24279.2,0.33236,0.39465,0.15008,0.94617,0.94237,0.95142,0.61885,0.35843,0.39177,0.17769,1.89388e-05,1.89388e-05,1.89388e-05
60,24691.3,0.3246,0.38854,0.1475,0.94159,0.93812,0.95022,0.61545,0.36245,0.39208,0.18085,1.81851e-05,1.81851e-05,1.81851e-05
61,25102.4,0.33135,0.38785,0.15069,0.946,0.94057,0.94876,0.61319,0.36325,0.39308,0.1814,1.74382e-05,1.74382e-05,1.74382e-05
62,25513.5,0.32973,0.38818,0.1496,0.94471,0.94099,0.94983,0.62173,0.35659,0.39035,0.1765,1.66989e-05,1.66989e-05,1.66989e-05
63,25925.6,0.32479,0.385,0.14619,0.94187,0.94306,0.94957,0.62393,0.35287,0.38736,0.1732,1.59679e-05,1.59679e-05,1.59679e-05
64,26337.5,0.32205,0.38153,0.1451,0.94524,0.94096,0.94803,0.61423,0.36272,0.39151,0.18224,1.52459e-05,1.52459e-05,1.52459e-05
65,26748.6,0.33074,0.38736,0.14859,0.94246,0.94253,0.9519,0.62082,0.35699,0.39152,0.17485,1.45337e-05,1.45337e-05,1.45337e-05
66,27159.5,0.32412,0.38692,0.14591,0.94742,0.94171,0.95246,0.61732,0.36077,0.39252,0.1796,1.3832e-05,1.3832e-05,1.3832e-05
67,27570.7,0.32252,0.38204,0.14416,0.94557,0.94138,0.95268,0.62053,0.35787,0.39201,0.17709,1.31414e-05,1.31414e-05,1.31414e-05
68,27981.6,0.32627,0.38326,0.14627,0.94673,0.93827,0.95087,0.61529,0.36142,0.39402,0.17982,1.24626e-05,1.24626e-05,1.24626e-05
69,28392.9,0.32263,0.38582,0.1462,0.9467,0.94332,0.95064,0.61986,0.35706,0.39322,0.17645,1.17963e-05,1.17963e-05,1.17963e-05
70,28803.9,0.3227,0.38185,0.14529,0.94464,0.94267,0.95137,0.619,0.35906,0.39147,0.1791,1.11432e-05,1.11432e-05,1.11432e-05
71,29215.5,0.32174,0.38232,0.1444,0.94393,0.93984,0.94885,0.617,0.35977,0.39087,0.17913,1.05038e-05,1.05038e-05,1.05038e-05
72,29626.7,0.31863,0.37792,0.14371,0.94771,0.93887,0.94747,0.62079,0.35597,0.38857,0.17457,9.87894e-06,9.87894e-06,9.87894e-06
73,30037.5,0.32267,0.37881,0.14432,0.94011,0.94301,0.94845,0.61701,0.35929,0.39169,0.17971,9.26908e-06,9.26908e-06,9.26908e-06
74,30448.6,0.31583,0.37552,0.14178,0.94329,0.94078,0.94848,0.62078,0.35684,0.38512,0.17602,8.67487e-06,8.67487e-06,8.67487e-06
75,30859.6,0.31655,0.37708,0.14084,0.94411,0.94544,0.95018,0.62422,0.35508,0.38949,0.1757,8.09689e-06,8.09689e-06,8.09689e-06
76,31271.7,0.31621,0.37862,0.14118,0.93977,0.9414,0.94875,0.61706,0.35791,0.39111,0.17856,7.53572e-06,7.53572e-06,7.53572e-06
77,31682.5,0.31883,0.37723,0.14305,0.94412,0.94634,0.95202,0.61784,0.36023,0.39139,0.17964,6.99191e-06,6.99191e-06,6.99191e-06
78,32093.7,0.31673,0.37833,0.14424,0.94505,0.9401,0.95103,0.62304,0.35774,0.39094,0.17705,6.46599e-06,6.46599e-06,6.46599e-06
79,32504.9,0.31507,0.37805,0.14253,0.9423,0.94314,0.95014,0.62009,0.35892,0.39271,0.17805,5.95848e-06,5.95848e-06,5.95848e-06
80,32916,0.31579,0.37825,0.14042,0.94153,0.9432,0.95087,0.61897,0.35959,0.39293,0.17829,5.46989e-06,5.46989e-06,5.46989e-06
81,33326.6,0.31572,0.37866,0.14384,0.93886,0.94054,0.94785,0.62148,0.35754,0.391,0.17706,5.0007e-06,5.0007e-06,5.0007e-06
82,33737,0.31428,0.37636,0.13952,0.94135,0.94414,0.95165,0.62261,0.357,0.38924,0.17651,4.55137e-06,4.55137e-06,4.55137e-06
83,34147.4,0.31301,0.37468,0.1396,0.94119,0.94317,0.95016,0.62132,0.35722,0.39291,0.17687,4.12234e-06,4.12234e-06,4.12234e-06
84,34558.2,0.31671,0.38037,0.14436,0.94238,0.94241,0.95214,0.62174,0.35661,0.39085,0.17637,3.71404e-06,3.71404e-06,3.71404e-06
85,34968.8,0.3132,0.37515,0.14124,0.94402,0.94197,0.94898,0.61881,0.3577,0.39078,0.17718,3.32687e-06,3.32687e-06,3.32687e-06
86,35381.7,0.25358,0.31758,0.11884,0.94539,0.94051,0.94883,0.61936,0.35673,0.39136,0.17668,2.96121e-06,2.96121e-06,2.96121e-06
87,35794.3,0.25218,0.31582,0.11841,0.9422,0.9428,0.94954,0.62008,0.35649,0.39124,0.17633,2.61743e-06,2.61743e-06,2.61743e-06
88,36207.2,0.25202,0.31472,0.11821,0.94704,0.94229,0.94907,0.62068,0.35654,0.39116,0.17676,2.29585e-06,2.29585e-06,2.29585e-06
89,36620,0.25122,0.31474,0.11681,0.945,0.94337,0.95024,0.62059,0.35566,0.39119,0.17609,1.99681e-06,1.99681e-06,1.99681e-06
90,37032.8,0.25031,0.31444,0.1175,0.94665,0.94337,0.95023,0.62163,0.35647,0.39068,0.1768,1.72059e-06,1.72059e-06,1.72059e-06
91,37445.5,0.25075,0.31472,0.11725,0.94501,0.9418,0.94896,0.62049,0.35739,0.39155,0.17744,1.46747e-06,1.46747e-06,1.46747e-06
92,37858.5,0.2489,0.31486,0.11664,0.94549,0.94257,0.94934,0.62062,0.35782,0.39109,0.17763,1.23769e-06,1.23769e-06,1.23769e-06
93,38271.1,0.24882,0.31585,0.11705,0.94414,0.94488,0.95012,0.6212,0.35584,0.39088,0.17596,1.03149e-06,1.03149e-06,1.03149e-06
94,38684,0.24899,0.31396,0.11614,0.94407,0.94395,0.94917,0.61998,0.35847,0.39141,0.1779,8.49071e-07,8.49071e-07,8.49071e-07
95,39096.7,0.25016,0.31496,0.11721,0.94542,0.94289,0.94993,0.62169,0.35654,0.39141,0.17659,6.90605e-07,6.90605e-07,6.90605e-07
